Code Info,Départements,Nbre BV,Inscrits,Votants,Nuls,Exprimés,"nbre
députés","RES les
Verts",DC,Petaw,PVD,"MPSFaxa
s",SPD,PSA,MRDS,Salam,Pencoo,URD,"CAP
21",AJ/PADS,CPJE,"Bes Du
Nakk","B. Giss
Giss","And
Taxawal",PDS,"Lii Dal
Na Xel","Tekki
2012","DSTC A.
Ndoye","WA
Senegal",Leeral,"B. Bokk
Yakaar"
1,Dakar,886,681001,223890,570,223320,7,1232,280,1336,12421,3778,336,474,16768,1133,1364,1074,849,668,3543,21130,12617,950,20905,535,2660,590,1259,2760,114658
2,Guediawaye,251,186617,59969,150,59819,2,297,209,280,4250,1481,203,77,4976,489,227,290,160,281,335,7647,1931,215,7624,196,552,297,259,1162,26381
3,Pikine,662,496985,147471,379,147092,6,537,322,746,7236,2330,578,217,12936,894,451,606,529,406,1346,20951,10129,397,17019,904,1242,1046,702,1446,64122
4,Rufisque,355,197390,73437,279,73352,2,373,594,346,2046,1011,119,72,6123,407,282,618,139,210,731,11129,3197,305,6883,135,509,445,230,738,36710
5,Bambey,247,82285,34619,121,34498,2,298,86,117,479,208,59,158,619,121,292,266,89,205,374,251,1778,1451,7470,69,477,289,930,201,18211
6,Diourbel,220,85630,32362,117,32245,2,343,88,93,968,826,97,41,823,236,4921,160,129,392,207,382,485,118,5406,907,383,247,110,245,14638
7,Mbacke,652,284549,71599,330,71269,5,361,153,167,4985,1555,404,385,2688,1634,319,494,283,601,838,690,12133,347,16376,201,803,1883,300,365,23304
8,Fatick,310,113259,47273,149,47124,2,212,79,981,206,354,65,641,429,103,158,134,129,104,277,285,2172,279,3788,567,455,267,118,454,34867
9,Foundiougne,257,88477,36754,103,36651,2,389,74,216,151,78,119,178,522,227,153,178,112,896,283,191,940,90,3679,136,598,230,1361,247,25603
10,Gossas,110,33138,14718,60,14658,1,104,28,21,79,76,29,175,94,47,61,356,48,127,93,117,1352,19,3641,713,167,98,35,72,7106
11,Birkilane,112,32829,14586,57,14529,1,63,26,28,63,53,59,59,155,60,37,81,50,98,135,60,1454,29,3151,89,259,180,37,166,8137
12,Kaffrine,174,64027,28587,132,28455,2,195,46,98,108,138,50,80,324,105,85,147,91,438,563,260,1746,82,6442,184,349,174,113,157,16480
13,Koungheul,164,49925,26775,121,26654,2,137,53,81,189,50,44,35,80,65,51,109,48,210,1551,168,443,75,11950,36,256,210,130,154,10529
14,Malem hodar,97,27139,12868,40,12828,1,52,36,17,56,62,31,65,169,44,33,49,73,52,65,59,3433,18,1304,39,130,67,34,46,6894
