POPTOT-SN-RGPHAE-2013,,13 508 715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION DE LA REGION DE DAKAR - 2013-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
REGION DAKAR,1579020,1558176,3137196,1623114,1610346,3233460,1667687,1663005,3330692,1713001,1716369,3429370,1758957,1770343,3529300,1805476,1824848,3630324,1852477,1879807,3732284,1899876,1935143,3835019,1947568,1990790,3938358,1995516,2046709,4042225,2043707,2102886,4146593,2092140,2159290,4251430,2140805,2215892,4356697
ZONE URBAINE,1523160,1503156,3026316,1564682,1552373,3117055,1607650,1603137,3210787,1651333,1654580,3305913,1695635,1706611,3402246,1740478,1759153,3499631,1785788,1812134,3597922,1831481,1865478,3696959,1877456,1919121,3796577,1923677,1973028,3896705,1970133,2027182,3997315,2016823,2081556,4098379,2063736,2136120,4199856
ZONE RURALE,55860,55020,110880,58432,57972,116404,60037,59868,119905,61668,61789,123457,63322,63732,127054,64997,65695,130692,66689,67673,134362,68396,69665,138061,70112,71668,141780,71839,73682,145521,73573,75704,149277,75317,77734,153051,77069,79772,156841
DEPARTEMENT DE DAKAR,577997,568055,1146052,595733,585486,1181218,613647,603092,1216738,631827,620959,1252786,650238,639054,1289292,668851,657346,1326197,687636,675808,1363444,706564,694410,1400974,725603,713122,1438725,744740,731929,1476669,763968,750827,1514796,783283,769810,1553094,802678,788871,1591549
ARRONDISSEMENT DAKAR-PLATEAU,100446,89039,189485,103528,91771,195299,106641,94531,201172,109801,97331,207132,113000,100168,213168,116235,103035,219270,119499,105929,225428,122789,108844,231633,126097,111777,237875,129423,114725,244148,132765,117687,250452,136121,120663,256784,139492,123651,263142
CA. GOREE,788,892,1680,812,919,1732,836,947,1784,861,975,1836,886,1003,1890,912,1032,1944,937,1061,1999,963,1090,2054,989,1120,2109,1015,1149,2165,1041,1179,2221,1068,1209,2277,1094,1239,2333
CA. PLATEAU,17 935,16 778,34713,18485,17293,35778,19041,17813,36854,19605,18341,37946,20177,18875,39052,20754,19415,40169,21337,19961,41298,21924,20510,42434,22515,21063,43578,23109,21618,44727,23706,22176,45882,24305,22737,47042,24907,23300,48207
CA. MEDINA,44 808,37 174,81982,46183,38314,84498,47572,39466,87038,48981,40636,89617,50409,41820,92229,51851,43017,94869,53308,44225,97533,54775,45442,100218,56251,46667,102918,57735,47898,105632,59225,49134,108360,60723,50377,111099,62226,51624,113850
CA. COLOBANE/FASS/GUEULE TAPEE,27 569,24 701,52269,28414,25459,53873,29269,26224,55493,30136,27001,57137,31014,27788,58802,31902,28583,60485,32798,29386,62184,33701,30195,63895,34609,31009,65617,35522,31827,67348,36439,32648,69087,37360,33474,70833,38285,34303,72587
CA. FANN/POINT E/ AMITIE,9 346,9 495,18841,9633,9786,19419,9923,10080,20003,10217,10379,20596,10514,10681,21196,10815,10987,21803,11119,11296,22415,11425,11606,23032,11733,11919,23653,12043,12234,24276,12353,12549,24903,12666,12867,25533,12979,13185,26165
ARRONDISSEMENT GRAND DAKAR,154714,152012,306726,159461,156676,316138,164256,161388,325644,169123,166169,335292,174051,171011,345062,179033,175906,354939,184061,180847,364908,189128,185825,374953,194224,190832,385056,199346,195865,395211,204493,200922,405415,209664,206002,415665,214855,211103,425958
CA. GRAND DAKAR,24 901,22 111,47012,25665,22790,48455,26436,23475,49912,27220,24170,51390,28013,24875,52888,28815,25587,54402,29624,26305,55930,30439,27029,57469,31260,27758,59018,32084,28490,60574,32912,29225,62138,33745,29964,63709,34580,30706,65287
CA. BISCUITERIE,36 759,31 788,68547,37887,32763,70650,39027,33748,72775,40183,34748,74931,41354,35761,77114,42537,36784,79322,43732,37817,81550,44936,38858,83794,46147,39905,86052,47364,40958,88322,48587,42015,90602,49815,43077,92893,51048,44144,95193
CA. HLM,18 889,20 237,39126,19469,20858,40327,20054,21485,41539,20648,22121,42770,21250,22766,44016,21858,23418,45276,22472,24075,46548,23091,24738,47829,23713,25405,49118,24338,26075,50413,24967,26748,51715,25598,27424,53022,26232,28103,54335
CA. HANN/ BEL AIR,33 997,33 965,67961,35040,35007,70046,36093,36060,72153,37163,37128,74290,38246,38210,76455,39340,39303,78644,40445,40407,80852,41559,41520,83078,42678,42638,85317,43804,43763,87567,44935,44893,89828,46071,46028,92099,47212,47167,94379
CA. SICAP LIBERTE,22 295,24 869,47164,22979,25632,48611,23670,26403,50073,24371,27185,51556,25081,27977,53059,25799,28778,54578,26524,29586,56110,27254,30401,57655,27988,31220,59209,28726,32043,60770,29468,32871,62339,30213,33702,63915,30961,34536,65498
CA. DIEUPPEUL DERKLE,17 874,19 043,36917,18422,19628,38050,18976,20218,39194,19538,20817,40355,20108,21424,41531,20683,22037,42720,21264,22656,43920,21849,23279,45129,22438,23907,46345,23030,24537,47567,23624,25171,48795,24222,25807,50029,24821,26446,51267
ARRONDISSEMENT ALMADIES,102580,108734,211314,105728,112071,217798,108907,115441,224347,112134,118861,230994,115401,122324,237725,118704,125826,244530,122038,129360,251398,125397,132921,258318,128776,136502,265278,132173,140102,272275,135585,143720,279305,139013,147353,286366,142455,151002,293457
CA. OUAKAM,37 221,37 471,74692,38363,38621,76984,39516,39783,79299,40687,40961,81648,41873,42155,84027,43071,43361,86433,44281,44579,88860,45500,45806,91306,46726,47041,93766,47958,48281,96239,49196,49528,98724,50440,50780,101220,51689,52037,103727
CA. N’GOR,8 734,8 649,17383,9002,8914,17916,9273,9182,18455,9547,9454,19002,9825,9730,19556,10107,10008,20115,10391,10290,20680,10677,10573,21250,10964,10858,21822,11253,11144,22398,11544,11432,22976,11836,11721,23557,12129,12011,24140
CA. YOFF,42 639,46 803,89442,43947,48239,92187,45269,49690,94959,46610,51162,97772,47968,52653,100621,49341,54160,103501,50727,55681,106408,52123,57214,109337,53528,58755,112283,54939,60305,115245,56358,61862,118220,57783,63426,121209,59213,64996,124210
