Département,bureau,Inscrits,Votants,Enveloppes,nuls,exprimes,Macky_ SALL,Idrissa SECK,Ousmane SONKO,Madické NIANG,El hadii SALL
Dakar,1190,663021,456107,456107,2829,453278,212355,115612,101003,5646,18662
Guediawaye,350,195332,134316,134316,724,133592,65174,35646,24243,1977,6552
Pikine,1026,573844,380188,380188,2448,377740,183630,90388,74255,6601,22866
Rufisque,501,255630,185295,185295,1148,184147,100632,34892,30186,2273,16164
Bambey,276,113441,72244,72244,912,71332,38625,25364,4679,1539,1125
Diourbel,269,110748,72265,72265,872,71393,40501,22026,6300,1682,884
Mbacke,810,364826,225127,225127,2575,222552,67745,129724,12686,9963,2434
Fatick,374,160733,101280,101280,1109,100171,80888,5172,9349,673,4089
Foundiougne,301,118747,78056,78056,795,77261,62373,5103,7905,771,1109
Gossas,123,42810,27887,27887,307,27580,20292,4299,2036,435,518
Birkilane,122,46459,31620,31620,429,31191,22854,3309,3392,583,1053
Kaffrine,208,80823,55509,55509,691,54818,38874,6513,5294,731,3406
Koungheul,191,68248,43673,43673,750,42923,33728,5020,2848,442,885
Malem hodar,110,36551,24884,24884,348,24536,18926,2582,1285,345,1398
Guinguineo,148,50145,33998,33998,325,33673,21723,5786,2964,555,2645
Kaolack,509,237245,148171,148171,1377,146794,99376,18649,22677,1758,4334
Nioro du rip,358,138529,93551,93551,1313,92238,72463,7180,9825,1264,1506
Kedougou,109,37202,23013,23013,396,22617,16153,2494,3269,377,324
Salemata,33,10277,6659,6659,99,6560,4525,1062,589,309,75
Saraya,66,17688,11350,11350,262,11088,7122,1383,2082,226,275
Kolda,247,89246,59793,59793,951,58842,36927,6245,13839,1042,789
Medina yoro foulah,113,40366,28539,28539,819,27720,19992,2888,4133,396,311
Velingara,292,99787,69590,69590,1183,68407,47551,8106,10423,966,1361
Kebemer,334,120375,81212,81212,732,80480,42166,26739,5125,2076,4374
Linguere,336,118302,80179,80179,903,79276,64291,5857,5666,1859,1603
Louga,472,175467,121932,121932,1057,120875,73514,19788,9612,2344,15617
Kanel,236,108113,71253,71253,1147,70106,65679,1364,2562,192,309
Matam,301,141286,100273,100273,1016,99257,92454,2239,3698,284,582
Ranerou,64,24315,16485,16485,389,16096,14827,528,482,137,122
Dagana,316,134210,93052,93052,744,92308,62091,11033,11847,957,6380
Podor,480,207955,138198,138198,1533,136665,127639,2806,4802,510,908
Saint louis,318,162702,110148,110148,693,109455,62788,17404,18632,3160,7471
Bounkiling,172,58448,38485,38485,602,37883,23385,1105,12605,255,533
Goudomp,184,68584,46882,46882,688,46194,23343,4434,17012,770,635
Sedhiou,195,66023,43576,43576,434,43142,23414,3808,14833,680,407
Bakel,173,60479,35091,35091,682,34409,25723,2908,4888,471,419
Goudiry,177,44739,28756,28756,626,28130,21641,1964,3514,303,708
Koumpentoum,162,40839,30095,30095,513,29582,20220,4613,3652,580,517
Tambacounda,349,105306,66007,66007,994,65013,46096,5401,11258,1074,1184
Mbour,668,312814,213134,213134,1904,211230,132202,35437,29896,2042,11653
Thies,774,363482,256414,256414,1787,254627,100422,120054,19737,2312,12102
Tivaouane,540,224919,162901,162901,1190,161711,79757,55966,9836,2054,14098
Bignona,334,128489,82342,82342,548,81794,27398,2169,51438,377,412
Oussouye,76,29752,18802,18802,148,18654,8707,406,9209,101,231
Ziguinchor,264,125154,78221,78221,599,77622,32846,2419,41291,510,556
Afrique du Nord,73,39118,14758,14758,131,14627,6606,3408,3460,203,950
Afrique de Ouest,172,59196,29774,29774,284,29490,17370,7413,3727,322,658
Afrique du Centre,74,34386,19271,19271,67,19204,15052,1817,1984,123,228
Afrique Australe,13,3272,2056,2056,4,2052,1099,612,224,14,103
Europe de I O C,141,68613,32926,32926,176,32750,15394,3191,13380,212,573
Europe du Sud,198,80387,38142,38142,133,38009,12008,11551,11835,418,2197
Amerique Océanie,62,19857,10628,10628,64,10564,3082,2389,4846,80,167
Asie Moyen Orient,13,4763,2236,2236,15,2221,962,408,752,28,71
